"Item","Year","Operation","Unit","Number"
"Philosopy Social Science",2013,"Exports","USD(10000)",1750.25
"Philosopy Social Science",2012,"Exports","USD(10000)",1222.09
"Philosopy Social Science",2011,"Exports","USD(10000)",752.5
"Philosopy Social Science",2010,"Exports","USD(10000)",826.18
"Philosopy Social Science",2009,"Exports","USD(10000)",686.62
"Philosopy Social Science",2008,"Exports","USD(10000)",690.78
"Culture and Education",2013,"Exports","USD(10000)",1029.52
"Culture and Education",2012,"Exports","USD(10000)",1494.57
"Culture and Education",2011,"Exports","USD(10000)",571.18
"Culture and Education",2010,"Exports","USD(10000)",552.61
"Culture and Education",2009,"Exports","USD(10000)",549.3
"Culture and Education",2008,"Exports","USD(10000)",419.86
"Literature and Art",2013,"Exports","USD(10000)",891.95
"Literature and Art",2012,"Exports","USD(10000)",1269.97
"Literature and Art",2011,"Exports","USD(10000)",650.66
"Literature and Art",2010,"Exports","USD(10000)",601.51
"Literature and Art",2009,"Exports","USD(10000)",471.85
"Literature and Art",2008,"Exports","USD(10000)",494.14
"Natural Science and S&T",2013,"Exports","USD(10000)",383.84
"Natural Science and S&T",2012,"Exports","USD(10000)",428.58
"Natural Science and S&T",2011,"Exports","USD(10000)",345.88
"Natural Science and S&T",2010,"Exports","USD(10000)",345.93
"Natural Science and S&T",2009,"Exports","USD(10000)",303.37
"Natural Science and S&T",2008,"Exports","USD(10000)",155.95
"For Children",2013,"Exports","USD(10000)",447.31
"For Children",2012,"Exports","USD(10000)",632.49
"For Children",2011,"Exports","USD(10000)",280.61
"For Children",2010,"Exports","USD(10000)",264.86
"For Children",2009,"Exports","USD(10000)",127.73
"For Children",2008,"Exports","USD(10000)",87.58
"General Books",2013,"Exports","USD(10000)",713.51
"General Books",2012,"Exports","USD(10000)",1535.08
"General Books",2011,"Exports","USD(10000)",675.77
"General Books",2010,"Exports","USD(10000)",641.03
"General Books",2009,"Exports","USD(10000)",823.16
"General Books",2008,"Exports","USD(10000)",1282.28
